Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
Mauritius,6.101299763,1.07366395,1.395666838,0.763389409,0.590838134,0.186894551,0.084088229,2020
Kazakhstan,6.057899952,1.122594237,1.453267694,0.698788941,0.497432142,0.153713793,0.110463686,2020
Estonia,6.021800041,1.192441225,1.453232527,0.842615008,0.576664805,0.125136748,0.201766819,2020
Philippines,6.006000042,0.775120676,1.245381713,0.602189481,0.621915162,0.129260212,0.130385727,2020
Hungary,6.000400066,1.164307117,1.423009396,0.806793869,0.386401802,0.070491239,0.027548173,2020
Thailand,5.998799801,1.007029295,1.347519517,0.793855846,0.609449804,0.376709014,0.031837862,2020
Argentina,5.974699974,1.028465629,1.372543693,0.849773705,0.520840347,0.070100471,0.060415059,2020
Honduras,5.953199863,0.598763585,1.186664104,0.791989982,0.568148077,0.256528199,0.086807102,2020
Latvia,5.949999809,1.14139545,1.414398789,0.777902424,0.329198807,0.075407945,0.090391524,2020
Ecuador,5.925199986,0.853383601,1.221027613,0.838837743,0.555234551,0.115006477,0.086753383,2020
Portugal,5.910900116,1.168800831,1.339530349,0.979315281,0.589895189,0.053036947,0.027733466,2020
Jamaica,5.889800072,0.779058397,1.408289194,0.788434088,0.553124607,0.116268493,0.030147785,2020
South Korea,5.872399807,1.245300651,1.133560538,1.022542596,0.25935635,0.170303866,0.094596282,2020
Japan,5.870800018,1.26672411,1.332338691,1.072881341,0.495465875,0.03571178,0.181439638,2020
Peru,5.796800137,0.91854918,1.208405972,0.824444175,0.513210058,0.091611817,0.02703266,2020
Serbia,5.77820015,0.988181829,1.327448964,0.828403294,0.395428419,0.15028289,0.059447147,2020
Bolivia,5.747499943,0.730976343,1.142350554,0.662445664,0.5744645,0.138375074,0.072942637,2020
Pakistan,5.69329977,0.616799474,0.872979581,0.469933242,0.405421734,0.228705063,0.122592121,2020
Paraguay,5.692100048,0.897990823,1.36819756,0.735869646,0.586510062,0.204299241,0.065077379,2020
Dominican Republic,5.689199924,0.983191848,1.328888893,0.741901696,0.5628739,0.112196781,0.115945682,2020
Bosnia and Herzegovina,5.674099922,0.91839546,1.203986526,0.813928187,0.305365741,0.264005244,0.001172487,2020
Moldova,5.607500076,0.707916796,1.237312198,0.713299453,0.389571488,0.174049184,0.014378744,2020
Tajikistan,5.555699825,0.474874616,1.218377709,0.680594802,0.521141171,0.182417125,0.221779913,2020
Montenegro,5.54610014,1.010150075,1.265657902,0.839028895,0.303223848,0.14901033,0.098435111,2020
Russia,5.546000004,1.126999617,1.378644109,0.68044591,0.399499595,0.099041916,0.045699362,2020
Kyrgyzstan,5.541500092,0.513180971,1.341036677,0.680645883,0.614617765,0.30137074,0.030466691,2020
Belarus,5.539899826,1.018854499,1.38713932,0.75258857,0.290755868,0.08993306,0.193607435,2020
North Cyprus,5.53550005,1.21279943,1.183089137,1.026124597,0.477885723,0.199160054,0.199802905,2020
Greece,5.514999866,1.128070116,1.168973565,0.979431748,0.173516348,0.0,0.048844352,2020
Hong Kong S.A.R. of China,5.510399818,1.376746058,1.243584275,1.136630654,0.459356517,0.288280904,0.332485437,2020
Croatia,5.504700184,1.109024286,1.311264873,0.900575578,0.381456882,0.113998979,0.012325006,2020
Libya,5.488800049,1.021913767,1.196283698,0.615626633,0.451354057,0.142757699,0.172258079,2020
Mongolia,5.456200123,0.904872775,1.458930612,0.615788162,0.355703115,0.263885736,0.046533126,2020
Malaysia,5.384300232,1.168421626,1.17400229,0.788511872,0.596941531,0.274886161,0.062163133,2020
Vietnam,5.353499889,0.718092382,1.253074765,0.819133997,0.650835574,0.136488721,0.089848459,2020
Indonesia,5.285600185,0.891720712,1.154800892,0.610437036,0.568161428,0.542646527,0.038278613,2020
Ivory Coast,5.233300209,0.537094414,0.799727261,0.154942513,0.397122532,0.169915587,0.093495794,2020
Benin,5.21600008,0.366244704,0.352428436,0.328062952,0.40583989,0.196670428,0.125931874,2020
Maldives,5.197599888,0.937864304,1.402287602,0.914439559,0.548203647,0.224198252,0.071906492,2020
Congo (Brazzaville),5.194399834,0.633616745,0.757636011,0.458101124,0.386514395,0.117216013,0.118670784,2020
Azerbaijan,5.164800167,0.990272701,1.180613041,0.731134057,0.467734724,0.040113214,0.247307181,2020
Macedonia,5.159800053,0.935371995,1.183173537,0.802994132,0.410224587,0.18586354,0.024595059,2020
Ghana,5.147999763,0.575862467,0.96636796,0.432162255,0.477290064,0.261291206,0.056570381,2020
Nepal,5.137199879,0.444050372,1.100789309,0.66887939,0.480608255,0.300971806,0.127502963,2020
Turkey,5.131800175,1.127169251,1.197159171,0.781335294,0.25440076,0.085885569,0.120983243,2020
China,5.123899937,0.990533412,1.132080674,0.867248535,0.601605117,0.079021044,0.117255554,2020
Turkmenistan,5.119100094,1.008963585,1.510476947,0.612448037,0.515236676,0.323129326,0.03350389,2020
Bulgaria,5.101500034,1.046554685,1.460578918,0.777776897,0.417820066,0.103833713,0.0,2020
Morocco,5.094799995,0.75862211,0.645208478,0.745096922,0.450054139,0.040032551,0.077385604,2020
Cameroon,5.084899902,0.503958046,0.89972645,0.270189553,0.439242482,0.198020101,0.054393422,2020
Venezuela,5.053199768,0.770238638,1.348546863,0.76702553,0.271717221,0.087179154,0.063624777,2020
Algeria,5.005099773,0.943856001,1.143003583,0.745418549,0.083943799,0.118915014,0.129190654,2020
Senegal,4.980800152,0.504061818,0.95459342,0.518391907,0.352400899,0.164397135,0.081865937,2020
Guinea,4.949299812,0.390007734,0.75136596,0.333655238,0.371878058,0.249490842,0.112204559,2020
Niger,4.909599781,0.108330332,0.703800142,0.298816353,0.435311615,0.208176896,0.137554765,2020
Laos,4.888599873,0.714693844,0.987391889,0.486378282,0.612027287,0.27266711,0.194273964,2020
Albania,4.882699966,0.906653047,0.830483913,0.846329629,0.461945891,0.171027765,0.025361285,2020
Cambodia,4.848400116,0.544634938,1.071426034,0.587904334,0.674940348,0.233342081,0.072837502,2020
Bangladesh,4.832799911,0.556156278,0.868800581,0.694940507,0.604130566,0.176745117,0.176735908,2020
Gabon,4.829299927,0.988044381,1.10639751,0.522574842,0.369459897,0.052013602,0.055804539,2020
South Africa,4.814099789,0.902140439,1.259086251,0.407034069,0.43478182,0.126406848,0.05950214,2020
Iraq,4.784800053,0.982018709,1.011466622,0.529350698,0.283588052,0.153002068,0.073164992,2020
Lebanon,4.771500111,0.889232516,1.19249332,0.788671136,0.18551667,0.158524141,0.021518147,2020
Burkina Faso,4.768700123,0.302467644,0.9293859,0.312833875,0.322398156,0.186390609,0.126408055,2020
Gambia,4.750599861,0.256990552,0.882678688,0.353247881,0.403419524,0.425989687,0.158093795,2020
Mali,4.729300022,0.352462649,0.97314173,0.234981522,0.377534449,0.16966705,0.062146276,2020
Nigeria,4.724100113,0.645901859,0.986717939,0.167835936,0.435079455,0.221328124,0.047589935,2020
Armenia,4.676799774,0.808262408,1.034576893,0.77585727,0.378075808,0.107225738,0.104618184,2020
Georgia,4.672599792,0.847198069,0.7311939,0.694657624,0.485494107,0.047609735,0.174088076,2020
Iran,4.672399998,1.029322505,0.886271179,0.749053836,0.301195472,0.27697894,0.142651513,2020
Jordan,4.633399963,0.785179198,1.140118599,0.777624726,0.424855083,0.091494769,0.151878625,2020
Mozambique,4.623600006,0.178741366,0.955202878,0.324223638,0.56077534,0.220422104,0.163064316,2020
Kenya,4.583000183,0.476413399,0.905077755,0.536312759,0.519180536,0.393902093,0.067201078,2020
Namibia,4.571100235,0.84008199,1.245738149,0.40687117,0.444598973,0.076454483,0.054320343,2020
Ukraine,4.56069994,0.780434608,1.321316481,0.698674381,0.319423705,0.178551316,0.00965116,2020
Liberia,4.557899952,0.174103007,0.920733929,0.392284274,0.405943096,0.226967871,0.051139876,2020
Palestinian Territories,4.552800179,0.587819219,1.194755554,0.613826573,0.29870075,0.091816261,0.071913652,2020
Uganda,4.43200016,0.312337428,1.052327394,0.378311664,0.401682556,0.264807373,0.063818842,2020
Chad,4.422699928,0.302287489,0.739118278,0.1087441,0.228601769,0.210805088,0.085755408,2020
Tunisia,4.392199993,0.874742687,0.872167706,0.781156719,0.235860556,0.055881143,0.043899573,2020
Mauritania,4.374599934,0.539684892,1.113323569,0.425184816,0.185714483,0.128899664,0.122257635,2020
Sri Lanka,4.327000141,0.897986948,1.19494009,0.792036712,0.528632462,0.252666146,0.049444564,2020
Congo (Kinshasa),4.31099987,0.062487468,0.833055019,0.277212054,0.36462298,0.254324883,0.081466645,2020
Swaziland,4.308100224,0.827539742,1.064835191,0.215585828,0.299935788,0.067264833,0.146765873,2020
Myanmar,4.308000088,0.67809093,1.098178267,0.495443076,0.597478867,0.569813728,0.187530354,2020
Comoros,4.288599968,0.415620774,0.723232806,0.437383324,0.181028232,0.258538276,0.100048535,2020
Togo,4.187200069,0.268116266,0.547622859,0.342731178,0.303539038,0.200774252,0.114826456,2020
Ethiopia,4.186200142,0.315125644,1.001103282,0.483846247,0.41256687,0.227698103,0.117437035,2020
Madagascar,4.165599823,0.244553208,0.823694348,0.500617027,0.192967549,0.191190064,0.076248638,2020
Egypt,4.151400089,0.875228941,0.982539535,0.596911311,0.373684734,0.068801254,0.095461793,2020
Sierra Leone,3.926399946,0.240560383,0.747984946,0.203953966,0.382027686,0.257647008,0.047940936,2020
Burundi,3.775300026,0.0,0.403575271,0.295212835,0.275399059,0.187401786,0.212186828,2020
Zambia,3.759399891,0.536833763,0.896037281,0.36359334,0.49131754,0.250620902,0.086705238,2020
Haiti,3.720799923,0.284734428,0.646671355,0.37436673,0.169297516,0.463909656,0.161935672,2020
Lesotho,3.652800083,0.45493874,1.088940024,0.100934811,0.409367532,0.102627642,0.050483823,2020
India,3.573299885,0.730576158,0.644198656,0.54057014,0.581142247,0.237072483,0.105587982,2020
Malawi,3.538000107,0.176534727,0.53036809,0.446163297,0.487389833,0.213185057,0.131633952,2020
Yemen,3.527400017,0.392701775,1.177477121,0.41500017,0.243721485,0.094689012,0.087352127,2020
Botswana,3.478899956,0.997548997,1.08569479,0.494101733,0.50908941,0.033407487,0.101786368,2020
Tanzania,3.476200104,0.457163125,0.872674644,0.442677855,0.509343088,0.27154091,0.203880861,2020
Central African Republic,3.475899935,0.041072082,0.0,0.0,0.292814463,0.253513217,0.028264718,2020
Rwanda,3.312299967,0.343242675,0.522876322,0.572383285,0.604087889,0.235704988,0.485542476,2020
Zimbabwe,3.299200058,0.425564021,1.047835231,0.375037611,0.37740472,0.151349187,0.080928579,2020
South Sudan,2.816600084,0.289082974,0.553278506,0.208809033,0.065609254,0.209934607,0.111156799,2020
Afghanistan,2.566900015,0.30070585,0.356433839,0.266051531,0.0,0.135234714,0.001225785,2020
Finland,7.842,1.446,1.106,0.741,0.691,0.124,0.481,2021
Denmark,7.62,1.502,1.108,0.763,0.686,0.208,0.485,2021
Switzerland,7.571,1.566,1.079,0.816,0.653,0.204,0.413,2021
Iceland,7.554,1.482,1.172,0.772,0.698,0.293,0.17,2021
Netherlands,7.464,1.501,1.079,0.753,0.647,0.302,0.384,2021
Norway,7.392,1.543,1.108,0.782,0.703,0.249,0.427,2021
Sweden,7.363,1.478,1.062,0.763,0.685,0.244,0.448,2021
Luxembourg,7.324,1.751,1.003,0.76,0.639,0.166,0.353,2021
New Zealand,7.277,1.4,1.094,0.785,0.665,0.276,0.445,2021
Austria,7.268,1.492,1.062,0.782,0.64,0.215,0.292,2021
Australia,7.183,1.453,1.076,0.801,0.647,0.291,0.317,2021
Israel,7.157,1.376,1.074,0.788,0.509,0.208,0.119,2021
Germany,7.155,1.48,0.993,0.757,0.6,0.195,0.306,2021
Canada,7.103,1.447,1.044,0.798,0.648,0.246,0.335,2021
Ireland,7.085,1.644,1.092,0.753,0.606,0.238,0.367,2021
Costa Rica,7.069,1.134,0.966,0.722,0.673,0.105,0.083,2021
United Kingdom,7.064,1.423,1.062,0.757,0.58,0.34,0.306,2021
Czech Republic,6.965,1.37,1.09,0.703,0.58,0.052,0.046,2021
United States,6.951,1.533,1.03,0.621,0.554,0.252,0.154,2021
Belgium,6.834,1.463,0.998,0.747,0.489,0.088,0.187,2021
France,6.69,1.421,1.081,0.804,0.536,0.092,0.235,2021
Bahrain,6.647,1.409,0.899,0.662,0.661,0.246,0.139,2021
Malta,6.602,1.411,1.055,0.747,0.664,0.275,0.183,2021
Taiwan Province of China,6.584,1.48,0.982,0.665,0.49,0.142,0.139,2021
United Arab Emirates,6.561,1.555,0.86,0.594,0.67,0.236,0.223,2021
Saudi Arabia,6.494,1.435,0.964,0.571,0.603,0.09,0.163,2021
Spain,6.491,1.375,1.057,0.826,0.462,0.135,0.124,2021
Italy,6.483,1.393,0.94,0.798,0.379,0.133,0.047,2021
Slovenia,6.461,1.36,1.093,0.722,0.69,0.122,0.085,2021
Guatemala,6.435,0.845,0.79,0.519,0.638,0.163,0.105,2021
Uruguay,6.431,1.164,1.042,0.649,0.625,0.128,0.223,2021
Singapore,6.377,1.695,1.019,0.897,0.664,0.176,0.547,2021
Kosovo,6.372,0.937,0.807,0.483,0.593,0.356,0.014,2021
Slovakia,6.331,1.304,1.066,0.653,0.468,0.107,0.018,2021
Brazil,6.33,1.028,0.944,0.571,0.514,0.142,0.117,2021
Mexico,6.317,1.126,0.83,0.634,0.585,0.092,0.089,2021
Jamaica,6.309,0.891,0.932,0.599,0.618,0.099,0.035,2021
Lithuania,6.255,1.35,1.065,0.612,0.476,0.056,0.073,2021
Cyprus,6.223,1.377,0.765,0.801,0.464,0.178,0.061,2021
Estonia,6.189,1.344,1.079,0.64,0.641,0.119,0.263,2021
Panama,6.18,1.298,0.976,0.667,0.596,0.079,0.053,2021
Uzbekistan,6.179,0.769,1.027,0.528,0.716,0.391,0.271,2021
Chile,6.172,1.2,0.946,0.678,0.438,0.159,0.07,2021
Poland,6.166,1.309,0.982,0.668,0.558,0.08,0.13,2021
Kazakhstan,6.152,1.23,1.103,0.527,0.573,0.143,0.132,2021
Romania,6.14,1.275,0.832,0.595,0.564,0.045,0.001,2021
Kuwait,6.106,1.461,0.857,0.58,0.591,0.12,0.13,2021
Serbia,6.078,1.101,0.924,0.634,0.482,0.189,0.066,2021
El Salvador,6.061,0.845,0.675,0.565,0.615,0.116,0.16,2021
Mauritius,6.049,1.178,0.996,0.574,0.59,0.153,0.096,2021
Latvia,6.032,1.285,1.047,0.587,0.405,0.082,0.089,2021
Colombia,6.012,1.021,0.866,0.615,0.554,0.1,0.063,2021
Hungary,5.992,1.301,1.083,0.615,0.454,0.067,0.04,2021
Thailand,5.985,1.107,0.957,0.596,0.611,0.375,0.028,2021
Nicaragua,5.972,0.693,0.904,0.604,0.553,0.201,0.176,2021
Japan,5.94,1.389,0.949,0.838,0.504,0.02,0.192,2021
Argentina,5.929,1.162,0.98,0.646,0.544,0.069,0.067,2021
Portugal,5.929,1.323,0.939,0.76,0.621,0.029,0.033,2021
Honduras,5.919,0.703,0.787,0.593,0.578,0.241,0.083,2021
Croatia,5.882,1.251,1.039,0.703,0.453,0.111,0.0,2021
Philippines,5.88,0.853,0.828,0.426,0.651,0.125,0.126,2021
South Korea,5.845,1.403,0.758,0.801,0.353,0.134,0.135,2021
Peru,5.84,0.986,0.833,0.623,0.536,0.087,0.031,2021
Bosnia and Herzegovina,5.813,1.032,0.919,0.618,0.395,0.261,0.005,2021
Moldova,5.766,0.985,0.888,0.542,0.536,0.137,0.013,2021
Ecuador,5.764,0.935,0.806,0.64,0.56,0.107,0.062,2021
Kyrgyzstan,5.744,0.665,0.971,0.501,0.673,0.266,0.02,2021
Greece,5.723,1.273,0.811,0.76,0.243,0.0,0.074,2021
Bolivia,5.716,0.842,0.782,0.486,0.6,0.138,0.064,2021
Mongolia,5.677,0.966,1.065,0.442,0.397,0.263,0.053,2021
Paraguay,5.653,0.983,0.97,0.549,0.602,0.206,0.037,2021
Montenegro,5.581,1.155,0.891,0.637,0.397,0.166,0.081,2021
Dominican Republic,5.545,1.106,0.879,0.555,0.581,0.101,0.144,2021
North Cyprus,5.536,1.377,0.806,0.801,0.503,0.196,0.2,2021
Belarus,5.534,1.124,1.007,0.56,0.326,0.07,0.199,2021
Russia,5.477,1.241,0.992,0.511,0.409,0.115,0.06,2021
Hong Kong S.A.R. of China,5.477,1.525,0.841,0.893,0.408,0.232,0.342,2021
Tajikistan,5.466,0.508,0.895,0.498,0.548,0.152,0.247,2021
Vietnam,5.411,0.817,0.873,0.616,0.679,0.124,0.091,2021
Libya,5.41,1.044,0.821,0.435,0.474,0.131,0.174,2021
Malaysia,5.384,1.259,0.797,0.587,0.624,0.27,0.064,2021
Indonesia,5.345,0.954,0.786,0.433,0.598,0.541,0.046,2021
Congo (Brazzaville),5.342,0.518,0.392,0.307,0.381,0.144,0.124,2021
China,5.339,1.061,0.785,0.665,0.636,0.093,0.117,2021
Ivory Coast,5.306,0.669,0.409,0.052,0.438,0.177,0.092,2021
Armenia,5.283,0.996,0.758,0.585,0.54,0.079,0.198,2021
Nepal,5.269,0.519,0.702,0.496,0.488,0.287,0.135,2021
Bulgaria,5.266,1.181,1.055,0.583,0.494,0.125,0.005,2021
Maldives,5.198,1.115,1.015,0.697,0.575,0.204,0.073,2021
Azerbaijan,5.171,1.025,0.841,0.541,0.526,0.043,0.276,2021
Cameroon,5.142,0.543,0.556,0.159,0.425,0.205,0.058,2021
Senegal,5.132,0.518,0.558,0.357,0.381,0.158,0.088,2021
Albania,5.117,1.008,0.529,0.646,0.491,0.168,0.024,2021
North Macedonia,5.101,1.068,0.772,0.535,0.45,0.212,0.022,2021
Ghana,5.088,0.68,0.595,0.287,0.517,0.268,0.058,2021
Niger,5.074,0.162,0.402,0.167,0.516,0.2,0.157,2021
Turkmenistan,5.066,1.046,1.172,0.439,0.602,0.366,0.033,2021
Gambia,5.051,0.367,0.511,0.21,0.384,0.465,0.123,2021
Benin,5.045,0.507,0.058,0.196,0.457,0.166,0.178,2021
Laos,5.03,0.808,0.598,0.33,0.643,0.268,0.179,2021
Bangladesh,5.025,0.635,0.52,0.514,0.603,0.161,0.164,2021
Guinea,4.984,0.42,0.399,0.206,0.384,0.25,0.111,2021
South Africa,4.956,0.967,0.895,0.265,0.447,0.144,0.051,2021
Turkey,4.948,1.26,0.809,0.59,0.236,0.097,0.104,2021
Pakistan,4.934,0.637,0.423,0.322,0.418,0.252,0.097,2021
Morocco,4.918,0.792,0.219,0.558,0.477,0.034,0.088,2021
Venezuela,4.892,0.852,0.897,0.574,0.284,0.078,0.072,2021
Georgia,4.891,1.03,0.47,0.498,0.488,0.032,0.181,2021
Algeria,4.887,0.946,0.765,0.552,0.119,0.144,0.12,2021
Ukraine,4.875,0.979,0.958,0.517,0.417,0.181,0.01,2021
Iraq,4.854,0.91,0.638,0.381,0.302,0.153,0.041,2021
Gabon,4.852,1.037,0.707,0.362,0.424,0.058,0.064,2021
Burkina Faso,4.834,0.364,0.472,0.179,0.381,0.182,0.122,2021
Cambodia,4.83,0.603,0.68,0.426,0.702,0.21,0.061,2021
Mozambique,4.794,0.183,0.634,0.196,0.608,0.228,0.163,2021
Nigeria,4.759,0.663,0.625,0.051,0.433,0.212,0.039,2021
Mali,4.723,0.387,0.59,0.11,0.384,0.164,0.072,2021
Iran,4.721,1.03,0.557,0.561,0.275,0.33,0.144,2021
Uganda,4.636,0.364,0.718,0.24,0.398,0.267,0.054,2021
Liberia,4.625,0.228,0.58,0.253,0.43,0.221,0.057,2021
Kenya,4.607,0.603,0.508,0.385,0.483,0.375,0.073,2021
Tunisia,4.596,0.919,0.515,0.59,0.334,0.057,0.044,2021
Lebanon,4.584,1.045,0.868,0.595,0.175,0.14,0.026,2021
Namibia,4.574,0.882,0.801,0.262,0.411,0.091,0.059,2021
Palestinian Territories,4.517,0.646,0.819,0.434,0.33,0.082,0.075,2021
Myanmar,4.426,0.666,0.713,0.341,0.601,0.52,0.178,2021
Jordan,4.395,0.89,0.685,0.583,0.455,0.079,0.15,2021
Chad,4.355,0.255,0.353,0.0,0.24,0.215,0.084,2021
Sri Lanka,4.325,0.99,0.82,0.593,0.559,0.239,0.049,2021
Swaziland,4.308,0.849,0.693,0.074,0.323,0.067,0.147,2021
Comoros,4.289,0.488,0.367,0.279,0.202,0.241,0.101,2021
Egypt,4.283,0.954,0.647,0.426,0.446,0.069,0.092,2021
Ethiopia,4.275,0.37,0.679,0.331,0.451,0.241,0.114,2021
Mauritania,4.227,0.666,0.749,0.273,0.218,0.119,0.133,2021
Madagascar,4.208,0.266,0.503,0.341,0.207,0.185,0.087,2021
Togo,4.107,0.254,0.239,0.203,0.289,0.209,0.107,2021
Zambia,4.073,0.528,0.552,0.231,0.487,0.227,0.074,2021
Sierra Leone,3.849,0.279,0.377,0.1,0.408,0.243,0.047,2021
India,3.819,0.741,0.316,0.383,0.622,0.246,0.106,2021
Burundi,3.775,0.0,0.062,0.155,0.298,0.172,0.212,2021
Yemen,3.658,0.329,0.831,0.272,0.268,0.092,0.089,2021
Tanzania,3.623,0.433,0.54,0.3,0.549,0.307,0.231,2021
Haiti,3.615,0.294,0.173,0.227,0.257,0.463,0.139,2021
Malawi,3.6,0.113,0.168,0.298,0.484,0.213,0.134,2021
Lesotho,3.512,0.451,0.731,0.007,0.405,0.103,0.015,2021
Botswana,3.467,1.099,0.724,0.34,0.539,0.027,0.088,2021
Rwanda,3.415,0.364,0.202,0.407,0.627,0.227,0.493,2021
Zimbabwe,3.145,0.457,0.649,0.243,0.359,0.157,0.075,2021
Afghanistan,2.523,0.37,0.0,0.126,0.0,0.122,0.01,2021
Finland,7.821,1.892,1.258,0.775,0.736,0.109,0.534,2022
Denmark,7.636,1.953,1.243,0.777,0.719,0.188,0.532,2022
Iceland,7.557,1.936,1.32,0.803,0.718,0.27,0.191,2022
Switzerland,7.512,2.026,1.226,0.822,0.677,0.147,0.461,2022
Netherlands,7.415,1.945,1.206,0.787,0.651,0.271,0.419,2022
Luxembourg*,7.404,2.209,1.155,0.79,0.7,0.12,0.388,2022
Sweden,7.384,1.92,1.204,0.803,0.724,0.218,0.512,2022
Norway,7.365,1.997,1.239,0.786,0.728,0.217,0.474,2022
Israel,7.364,1.826,1.221,0.818,0.568,0.155,0.143,2022
New Zealand,7.2,1.852,1.235,0.752,0.68,0.245,0.483,2022
Austria,7.163,1.931,1.165,0.774,0.623,0.193,0.329,2022
Australia,7.162,1.9,1.203,0.772,0.676,0.258,0.341,2022
Ireland,7.041,2.129,1.166,0.779,0.627,0.19,0.408,2022
Germany,7.034,1.924,1.088,0.776,0.585,0.163,0.358,2022
Canada,7.025,1.886,1.188,0.783,0.659,0.217,0.368,2022
United States,6.977,1.982,1.182,0.628,0.574,0.22,0.177,2022
United Kingdom,6.943,1.867,1.143,0.75,0.597,0.289,0.329,2022
Czechia,6.92,1.815,1.26,0.715,0.66,0.158,0.048,2022
Belgium,6.805,1.907,1.106,0.764,0.492,0.049,0.204,2022
France,6.687,1.863,1.219,0.808,0.567,0.07,0.266,2022
Bahrain,6.647,1.854,1.029,0.625,0.693,0.199,0.155,2022
Slovenia,6.63,1.81,1.249,0.769,0.685,0.118,0.115,2022
Costa Rica,6.582,1.584,1.054,0.744,0.661,0.089,0.102,2022
United Arab Emirates,6.576,1.998,0.98,0.633,0.702,0.204,0.25,2022
Saudi Arabia,6.523,1.87,1.092,0.577,0.651,0.078,0.18,2022
Taiwan Province of China,6.512,1.897,1.095,0.733,0.542,0.075,0.168,2022
Singapore,6.48,2.149,1.127,0.851,0.672,0.163,0.587,2022
Romania,6.477,1.719,1.006,0.655,0.605,0.039,0.006,2022
Spain,6.476,1.808,1.211,0.808,0.505,0.101,0.149,2022
Uruguay,6.474,1.615,1.18,0.672,0.665,0.103,0.265,2022
Italy,6.467,1.834,1.052,0.801,0.412,0.085,0.059,2022
Kosovo,6.455,1.362,0.949,0.569,0.599,0.309,0.035,2022
Malta,6.447,1.838,1.169,0.789,0.679,0.174,0.166,2022
Lithuania,6.446,1.804,1.204,0.659,0.496,0.053,0.077,2022
Slovakia,6.391,1.736,1.232,0.707,0.479,0.118,0.025,2022
Estonia,6.341,1.793,1.232,0.728,0.689,0.123,0.333,2022
Panama,6.309,1.715,1.107,0.709,0.592,0.049,0.051,2022
Brazil,6.293,1.462,1.044,0.615,0.546,0.131,0.134,2022
Guatemala*,6.262,1.274,0.831,0.522,0.662,0.112,0.115,2022
Kazakhstan,6.234,1.668,1.22,0.611,0.584,0.134,0.157,2022
Cyprus,6.221,1.815,0.909,0.819,0.448,0.123,0.062,2022
Latvia,6.18,1.732,1.221,0.637,0.502,0.075,0.09,2022
Serbia,6.178,1.55,1.086,0.658,0.546,0.219,0.088,2022
Chile,6.172,1.651,1.08,0.748,0.46,0.124,0.069,2022
Nicaragua,6.165,1.105,1.029,0.617,0.617,0.168,0.212,2022
Mexico,6.128,1.552,0.886,0.623,0.621,0.092,0.115,2022
Croatia,6.125,1.705,1.183,0.709,0.535,0.109,0.0,2022
Poland,6.123,1.758,1.174,0.712,0.523,0.124,0.14,2022
El Salvador,6.12,1.265,0.768,0.607,0.666,0.089,0.212,2022
Kuwait*,6.106,1.904,0.983,0.747,0.617,0.087,0.147,2022
Hungary,6.086,1.748,1.233,0.668,0.485,0.078,0.064,2022
Mauritius,6.071,1.591,1.116,0.568,0.589,0.131,0.107,2022
Uzbekistan,6.063,1.219,1.092,0.6,0.716,0.283,0.24,2022
Japan,6.039,1.835,1.089,0.866,0.537,0.007,0.218,2022
Honduras,6.022,1.111,0.885,0.555,0.582,0.202,0.076,2022
Portugal,6.016,1.76,1.078,0.777,0.655,0.016,0.039,2022
Argentina,5.967,1.592,1.102,0.662,0.555,0.081,0.085,2022
Greece,5.948,1.703,0.98,0.774,0.249,0.015,0.108,2022
South Korea,5.935,1.851,0.886,0.841,0.414,0.111,0.176,2022
Philippines,5.904,1.268,0.912,0.514,0.678,0.107,0.142,2022
Thailand,5.891,1.535,1.096,0.697,0.617,0.321,0.026,2022
Moldova,5.857,1.417,1.008,0.597,0.561,0.102,0.028,2022
Jamaica,5.85,1.296,1.045,0.646,0.567,0.08,0.053,2022
Kyrgyzstan,5.828,1.069,1.109,0.638,0.693,0.208,0.025,2022
Belarus*,5.821,1.562,1.157,0.629,0.342,0.04,0.282,2022
Colombia,5.781,1.452,0.929,0.72,0.545,0.087,0.077,2022
Bosnia and Herzegovina,5.768,1.468,1.068,0.665,0.448,0.244,0.006,2022
Mongolia,5.761,1.393,1.197,0.467,0.398,0.247,0.059,2022
Dominican Republic,5.737,1.538,1.003,0.577,0.606,0.084,0.179,2022
Malaysia,5.711,1.689,0.938,0.62,0.654,0.213,0.126,2022
Bolivia,5.6,1.256,0.88,0.555,0.627,0.112,0.064,2022
China,5.585,1.508,0.958,0.705,0.656,0.099,0.142,2022
Paraguay,5.578,1.409,1.13,0.624,0.629,0.171,0.059,2022
Peru,5.559,1.397,0.865,0.735,0.545,0.09,0.037,2022
Montenegro,5.547,1.573,1.023,0.659,0.46,0.135,0.077,2022
Ecuador,5.533,1.352,0.879,0.708,0.565,0.08,0.083,2022
Vietnam,5.485,1.252,0.932,0.611,0.707,0.143,0.105,2022
Turkmenistan*,5.474,1.484,1.319,0.516,0.649,0.314,0.032,2022
North Cyprus*,5.467,1.815,0.888,0.819,0.523,0.13,0.213,2022
Russia,5.459,1.685,1.095,0.586,0.401,0.117,0.08,2022
Hong Kong S.A.R. of China,5.425,1.957,0.954,0.942,0.4,0.147,0.383,2022
Armenia,5.399,1.434,0.82,0.668,0.558,0.054,0.21,2022
Tajikistan,5.377,0.966,1.005,0.518,0.572,0.118,0.304,2022
Nepal,5.377,0.984,0.784,0.499,0.519,0.237,0.13,2022
Bulgaria,5.371,1.625,1.163,0.64,0.563,0.123,0.021,2022
